"","","Project Name","Sub-Project","Short Description","Link to Presentation","Location (Google Maps Link)","Notes","Acres of Land","Units / sqft","Type of Return","Cost to Build","Total Sales / 
Annual Revenue","Total Profit / 
Annual profit","Time to build (yrs)","Projected 
IRR","Development Stage","Capital Status","Capital Target Raise","Capital 
Raised","Funding Progress","Anchor Capital","Market Comps","Pref (if applicable)","","","","","","","","","","","",""
"","","Altitude","Residential, Commercial, Hospitality","1,500 Units Resort","https://drive.google.com/file/d/1MV3bEzr0BamDVD8fN3ysa2ynUkvanZ06/view?usp=sharing","https://maps.app.goo.gl/5NnpC6Upt1d1NU8g6","hotels, condos, townhouses, pools, lagoons","126 ACRES, 103 ACRES USABLE","1500 UNITS","Built to sell","$375,000,000","$1,000,000,000","$625,000,000","3","38.67%","Entitled","Pre-Raise","$375,000,000","$0","0%","","","","","","","","","","","","","","",""
"","","Camp Bay Estates","Residential","16-Unit house lots with private pool","https://drive.google.com/open?id=1rR_HGcswonRvF56HM9GXIvyAQBdG_86i&usp=drive_fs","https://maps.app.goo.gl/PEdXZMWcdJFzTuFCA","3 minute walk from beach, houses go for $2-3MM, 5-6 bedrooms, 16 houses total, 9 built already; No 5 goes for 1.8M, no 13 for 2.2M, No 2 for 1.8M, No 14 for 2M.","8 ACRES OF PRIME LAND FOR THE ENTIRE PROJECT","16 HOME LOTS: POOL & GARAGE","Built to sell","$3,568,000","$4,800,000","$1,232,000","0.7","52.76%","Vertical Development","Majority Funded","$3,568,000","$0","0%","","","","","","","","","","","","","","",""
"","","Camp Bay Estates","Residential","80-Unit Condos Las Verandas","https://drive.google.com/open?id=1rR_HGcswonRvF56HM9GXIvyAQBdG_86i&usp=drive_fs","https://maps.app.goo.gl/PEdXZMWcdJFzTuFCA","Few condos sold","8 ACRES OF PRIME LAND FOR THE ENTIRE PROJECT","80 UNIT CONDOS: PENTHOUSE UNITS INCL. PLUNGE POOL & HOT TUB, 290-2450 SQFT","Built to sell","$30,910,000","$48,925,000","$18,015,000","2","25.81%","Platted","Open for Allocation","$30,910,000","$0","0%","","","","","","","","","","","","","","",""
"","","Camp Bay Estates","Residential","24-Unit Condos","https://drive.google.com/open?id=1rR_HGcswonRvF56HM9GXIvyAQBdG_86i&usp=drive_fs","https://maps.app.goo.gl/PEdXZMWcdJFzTuFCA","Sold out.","8 ACRES OF PRIME LAND FOR THE ENTIRE PROJECT","24 UNIT CONDOS: ROOFTOP POOL, 1191-1340 SQFT","Built to sell","$7,084,000","$15,600,000","$8,516,000","1.25","88.05%","Infrasturcture / Horizontal","Fully Funded","$7,084,000","$7,084,000","100%","","","","","","","","","","","","","","",""
"","","Caribbean Bliss","Commercial","Hospital","https://drive.google.com/open?id=1UbuvLLyHTSzXOfIr6MeAb2tzHhnPRvOf&usp=drive_fs","https://maps.app.goo.gl/97rx96PgTzeoGHVa7","","10 ACRES OF PRIME LAND FOR THE ENTIRE PROJECT","","Residual Cashflow / Rent","$28,000,000","","$7,000,000","1.5","35.73%","Land Banking","Pre-Raise","$28,000,000","$0","0%","","","","","","","","","","","","","","",""
"","","Caribbean Bliss","Entertainment","Sports Stadium","https://drive.google.com/open?id=1UbuvLLyHTSzXOfIr6MeAb2tzHhnPRvOf&usp=drive_fs","https://maps.app.goo.gl/97rx96PgTzeoGHVa7","Athletic stadium allowing for professional soccer teams to play, XX seats in the stadium, youth focused education in sports., he is sending it over to me tight now.","10 ACRES OF PRIME LAND FOR THE ENTIRE PROJECT","","Residual Cashflow / Rent","$80,500,000","$50,000,000","$25,000,000","1.5","45.49%","Land Banking","Pre-Raise","$0","$0","","","","","","","","","","","","","","","",""
"","","Caribbean Bliss","Residential","33 Home Lots","https://drive.google.com/open?id=1UbuvLLyHTSzXOfIr6MeAb2tzHhnPRvOf&usp=drive_fs","https://maps.app.goo.gl/97rx96PgTzeoGHVa7","Helicopter pad, 33 houses, 6 sold, 1 built, above is national park, residential style, 33 homes cost of homes at 600000, lots go for 200000, 16 lots only left","10 ACRES OF PRIME LAND FOR THE ENTIRE PROJECT","33 HOME LOTS
1200 SQFT HOME BUILD MINIMUM","Built to sell","$26,400,000","$49,550,000","$23,150,000","1.25","65.48%","Vertical Development","Open for Allocation","$26,400,000","$1,200,000","5%","","","","","","","","","","","","","","",""
"","","Cliffside","Entertainment","Day Use Bungalows for cruise ship tourism","https://drive.google.com/open?id=1eXrOSk1SAOKpmomhEifFRyUpsvzcgPwQ&usp=drive_fs","https://maps.app.goo.gl/k633d7eyJn83uNNV8","Luxury day location for Ritz Carlton Collection guests, 28 bungalows with tv, showers & a/c, cattamerans, ships, lux branded resort, all of the luxury toys, tower @ top

i event a month, concert, fireside, charge 300ppl with 50 dolla rticket, 4 days a week 110 dollars, 150 cruiseshippers.","1.8 ACRES","22 DAY BED BUNGALOWS - 4 VIP SUITES","Residual Cashflow / Rent","$8,500,000","","$3,432,000","1.25","49.57%","Entitled","Open for Allocation","","","","","","","","","","","","","","","","","",""
"","","Cliffside","Residential","80 unit condo","https://drive.google.com/open?id=1eXrOSk1SAOKpmomhEifFRyUpsvzcgPwQ&usp=drive_fs","https://maps.app.goo.gl/k633d7eyJn83uNNV8","Oceanfront condos with private community pool, ocean view, 790-2450 sqft size units","2.4 ACRES FOR THE ENTIRE PROJECT","80 UNIT CONDO BUILDING","Built to sell","$29,250,000","$45,000,000","$15,750,000","1.5","33.27%","Entitled","Open for Allocation","","","","","","","","","","","","","","","","","",""
"","","Cruise Port Beach Club","Entertainment","200,000 sqft beach club for cruise ship tourism","","","","","200,000 sqft beach club","Residual Cashflow / Rent","$40,000,000","","$12,000,000","1.5","43.81%","Land Banking","Open for Allocation","$40,000,000","$0","0%","","","","","","","","","","","","","","",""
